"Prompt","Answer","Tags"
"What is the best practice for partitioning data in S3 for Athena?","Partition on frequently filtered columns (e.g., date, region), use Glue crawlers or terraform to register partitions, and avoid small files by batching data (Parquet/ORC).","domain2;analytics;performance"
"When do you choose Glue ETL jobs versus Glue Studio or Glue DataBrew?","Glue ETL (Spark) handles big data transformations programmatically; Glue Studio offers visual job authoring; DataBrew supports analyst-led, no-code data preparation.","domain2;analytics"
"How do you implement Change Data Capture (CDC) into a data lake?","Use Database Migration Service to stream changes into Kinesis or S3, process with Lambda/Glue, and catalog in Glue Data Catalog for downstream analytics.","domain2;analytics;integration"
"What technique optimizes Athena query cost?","Compress data (Parquet), partition tables, project only required columns, enable workgroup query limits, and use result reuse for repeated queries.","domain2;analytics;cost"
"When should you use Redshift Spectrum?","When Redshift queries need to join data in the cluster with data stored in S3 without loading, enabling separation of compute and storage for lakehouse patterns.","domain2;analytics"
"How do RA3 Redshift nodes differ from DC2?","RA3 nodes separate storage and compute via Redshift Managed Storage, support data sharing and AQUA acceleration, making them ideal for variable workloads; DC2 uses local SSD tied to node size.","domain2;analytics;cost"
"What provides near real-time analytics without managing infrastructure?","Amazon Kinesis Data Analytics (Flink-based) or Managed Service for Apache Flink processes streaming data in SQL/Java, auto-scaling and managing checkpoints.","domain2;analytics;streaming"
"How do you integrate BI dashboards securely?","Use Amazon QuickSight with row-level security, SPICE in-memory cache, embedded dashboards via IAM Identity Center or federated SSO, and VPC connectivity for private data sources.","domain2;analytics;security"
"When is Amazon EMR appropriate?","For customizable big data frameworks (Spark, Hadoop, Presto) requiring fine-grained control, bootstrap actions, EMRFS, and integration with on-prem HDFS or custom AMIs.","domain2;analytics;compute"
"How do you optimize EMR cost?","Use Spot Instances for task nodes, auto scaling clusters, instance fleets, release clusters when idle, and leverage EBS-optimized storage or EMR Serverless for workloads.","domain2;analytics;cost"
"What is EMR Serverless?","A serverless runtime for Spark and Hive jobs that automatically provisions compute, scaling per job without managing clusters; priced per vCPU-second, GB-second.","domain2;analytics;serverless"
"How do you handle schema evolution in streaming pipelines?","Use Glue Schema Registry (managed with EventBridge/Kinesis), enforce compatibility, version schemas, and enable producers/consumers to handle changes gracefully.","domain2;analytics;integration"
"When should you use OpenSearch Service?","For log analytics, full-text search, observability dashboards, or application search with managed Elasticsearch-compatible clusters, integrated with Kinesis Firehose and CloudWatch.","domain2;analytics;operations"
"How do you deliver observability data into a data lake?","Stream CloudWatch Logs/metrics via Kinesis Firehose to S3, catalog with Glue, and analyze using Athena or QuickSight; optionally integrate with OpenSearch for dashboards.","domain2;analytics;operations"
"What is AWS Glue Data Catalog's role?","It centralizes metadata for S3/Redshift/RDS tables, supports schema discovery via crawlers, and integrates with Athena, EMR, Redshift Spectrum, and Lake Formation.","domain2;analytics;governance"
"How do you ensure data lineage and governance?","Use AWS Glue Data Catalog with classifiers, track transformations via Glue jobs/Studio, integrate with AWS DataBrew profiles, and maintain metadata in Lake Formation tags.","domain2;analytics;governance"
"When should you choose Amazon Managed Streaming for Apache Kafka?","For workloads requiring Kafka APIs, consumer lag tracking, exactly-once semantics, or existing Kafka-based ecosystems, reducing operational overhead versus self-managed clusters.","domain2;analytics;streaming"
"How do you share curated datasets across accounts?","Use Lake Formation LF-Tag permissions or cross-account data shares, grant access via Data Catalog resource links, and monitor with AWS CloudTrail/Audit Manager.","domain2;analytics;governance"
"What is the architecture for near real-time dashboards?","Ingest with Kinesis/MSK, process with Kinesis Data Analytics or Lambda, store in DynamoDB/ElastiCache for low-latency reads, and render via API Gateway or AppSync.","domain2;analytics;architecture"
"How do you schedule and orchestrate analytics workflows?","Use AWS Step Functions or Managed Workflows for Apache Airflow (MWAA) for dependency management, integrate Glue/EMR jobs, and monitor via CloudWatch/CloudTrail.","domain2;analytics;operations"
"When do you use AWS Data Exchange?","To subscribe to third-party datasets or share proprietary data, controlling entitlements, usage logs, and integration with S3/Snowflake/Redshift.","domain2;analytics"
"How do you handle data quality monitoring?","Use Deequ or Glue DataBrew for quality checks, integrate anomalies with CloudWatch alarms or EventBridge, and enforce via pipeline gates.","domain2;analytics;operations"
"What is the role of AWS Clean Rooms?","Enables privacy-preserving analytics across multiple parties without sharing raw data, using SQL queries with cryptographic privacy controls.","domain2;analytics;security"
"How do you support machine learning feature storage?","Use SageMaker Feature Store with offline (S3 + Glue) and online (low-latency) stores, maintain feature lineage, and secure via IAM/Lake Formation.","domain2;analytics;ml"
"When should you use Amazon AppFlow?","For SaaS-to-AWS data transfers with built-in transformations, filtering, scheduling, and private connectivity via PrivateLink where available.","domain2;integration;analytics"
"How do you secure Athena queries?","Require TLS, enforce IAM policies, use workgroup IAM controls, encrypt query results in S3 with KMS, and enable CloudTrail logging for query history.","domain2;analytics;security"
"What is AWS Glue Interactive Sessions?","A serverless Spark environment to run notebooks (Jupyter, AWS Glue Studio) with on-demand clusters for data engineers needing iterative development.","domain2;analytics;compute"
"How do you reduce Redshift query contention?","Use workload management (WLM) queues, concurrency scaling, short query acceleration, and materialized views to balance workloads.","domain2;analytics;performance"
"What pattern enables event-driven analytics pipelines?","Use EventBridge to trigger Glue jobs or Step Functions when data lands in S3, run transformations, and update catalogs, enabling near real-time analytics.","domain2;analytics;integration"
"How do you enforce organization-wide MFA for console access?","Use IAM Identity Center with IdP MFA policies, enforce via conditional access, and apply IAM policies/SCPs that deny sts:AssumeRole without MFA for sensitive roles.","domain2;security;identity"
"What is the purpose of IAM permission boundaries?","They set the maximum permissions a principal can delegate or assume, enabling delegated administration while preventing privilege escalation.","domain2;security;identity"
"When should you use AWS CloudHSM with KMS?","When regulatory requirements demand dedicated single-tenant HSMs, integrate CloudHSM as a custom key store for KMS to manage CMKs backed by your HSM cluster.","domain2;security;compliance"
"How do you manage multi-Region key encryption?","Use multi-Region KMS keys for synchronous replication with same key ID across Regions, facilitating cross-region replication services like S3 CRR and DynamoDB global tables.","domain2;security;resiliency"
"What services form the core threat detection stack?","Enable GuardDuty for threat intel, Inspector for vulnerability management, Macie for data discovery, Security Hub for aggregation, and Detective for investigation.","domain2;security;operations"
"How do you automate GuardDuty response?","Route findings via EventBridge to Lambda/Systems Manager Automation runbooks that isolate instances, revoke credentials, or adjust security groups.","domain2;security;operations"
"When do you adopt AWS WAF Bot Control?","Protect web apps from automated bots, scraping, or credential stuffing by applying managed rule groups from WAF Bot Control on CloudFront, ALB, or API Gateway.","domain2;security;networking"
"How do you implement just-in-time access?","Use IAM Identity Center permission sets with limited duration, integrate approval workflows via Service Catalog/AppFabric, or build Systems Manager Change Manager flows for short-lived role sessions.","domain2;security;identity"
"What protects against cross-account role hijacking?","Use external IDs for third-party access, restrict sts:AssumeRole via aws:PrincipalOrgID, monitor CloudTrail for unusual assumption events, and apply Access Analyzer.","domain2;security;identity"
"When should you use IAM Access Analyzer?","For validating IAM policies/resource-based policies, identifying unintended public or cross-account access, and integrating automated checks in CI/CD pipelines.","domain2;security;identity"
"How do you manage secrets rotation?","Use AWS Secrets Manager with rotation Lambda functions, integrate with RDS/Redshift, or Parameter Store SecureString with custom automation; enforce rotation schedules via Config.","domain2;security"
"What is Nitro Enclaves used for?","Provides isolated compute environments attached to EC2 Nitro instances for processing highly sensitive data, protecting secrets even from the host OS.","domain2;security;compute"
"How do you secure API Gateway endpoints?","Use IAM auth, Cognito authorizers, Lambda/custom authorizers, integrate WAF, enable throttling/usage plans, and require TLS with mutual auth if needed.","domain2;security;integration"
"What is AWS Verified Permissions?","A fine-grained authorization service based on Cedar policy language, enabling centralized ABAC for applications beyond AWS infrastructure.","domain2;security;identity"
"How do you implement data loss prevention for email/SaaS?","Integrate Macie findings, leverage AppFabric or third-party CASB, enforce DLP policies at identity provider, and route events through Security Hub.","domain2;security;operations"
"When do you enable AWS Shield Advanced?","For mission-critical internet-facing applications needing enhanced DDoS protection, cost protection, and access to DDoS Response Team support.","domain2;security;networking"
"How do you secure network boundaries in hybrid environments?","Use Network Firewall, firewall appliances via GWLB, enforce NACL/security groups, apply routing segmentation with TGW, and monitor with VPC Traffic Mirroring.","domain2;security;networking"
"What is AWS Certificate Manager Private CA for?","To issue and manage private TLS certificates across accounts and services, providing centralized PKI with automatic renewal and integration with ACM-managed services.","domain2;security;networking"
"How do you audit administrator activity?","Enable CloudTrail organization trails, CloudTrail Lake for queries, AWS Config snapshots, record session manager logs, and analyze using Athena or SIEM integrations.","domain2;security;operations"
"When should you encrypt traffic over Direct Connect?","When compliance requires it or traffic is sensitive; use MACsec on supported ports or overlay IPsec VPN over DX connections.","domain2;security;networking"
"How do you achieve policy-as-code for security?","Use tools like HashiCorp Sentinel, Open Policy Agent, or AWS CloudFormation Guard integrated into pipelines to validate security controls before deployment.","domain2;security;governance"
"What is the process for handling privileged break-glass access?","Maintain restricted IAM roles requiring hardware MFA, store credentials securely, log and alert every assumption, and rotate secrets after use.","domain2;security;operations"
"How do you secure cross-account KMS key usage?","Grant key policies with least privilege, use grants for specific principals, monitor via CloudTrail, and set key deletion windows with alarms.","domain2;security"
"When is AWS Identity Center identity store appropriate?","For small/medium orgs without external IdP, Identity Center provides user/group management, MFA, and SSO across accounts without third-party federation.","domain2;security;identity"
"How do you integrate external IdP with AWS?","Use SAML/OIDC federation, provision permission sets via Identity Center, map IdP attributes to session tags for ABAC, and automate provisioning via SCIM.","domain2;security;identity"
"What is AWS Config used for in security compliance?","Tracks configuration history, evaluates resources with managed/custom rules (e.g., restricted-ssh), integrates with conformance packs, and triggers remediation.","domain2;security;compliance"
"How do you protect SQS queues from unauthorized access?","Enable SSE with KMS CMKs, restrict queue policies to specific principals, enforce TLS (https endpoints), and monitor via CloudTrail and CloudWatch metrics.","domain2;security;integration"
"When should you use AWS Audit Manager?","To automate evidence collection for compliance frameworks (CIS, SOC, PCI), mapping data sources like CloudTrail, Config, and create auditor-ready reports.","domain2;security;compliance"
"How do you detect anomalous IAM behavior?","Use IAM Access Analyzer, CloudTrail insights, GuardDuty IAM finding types, and Amazon Detective for graph-based investigations of unusual API calls.","domain2;security;operations"
"What is the purpose of VPC Traffic Mirroring?","Captures network traffic for deep packet inspection, troubleshooting, or intrusion detection, streaming copies to monitoring appliances or tools.","domain2;security;networking"
"How do you enforce device posture for access?","Integrate Verified Access with device trust providers, enforce conditional policies, and deny access if device posture fails checks.","domain2;security;identity"
"When should you use AWS Network Firewall with Rule Groups?","For managed stateful filtering with reusable Suricata rule groups, integrating with Firewall Manager to push consistent policies across VPCs.","domain2;security;networking"
"How do you secure container workloads on EKS?","Use IAM roles for service accounts, enable Kubernetes RBAC, apply network policies (Calico), use ECR scanning, enforce admission controllers (OPA Gatekeeper/Kyverno).","domain2;security;containers"
"What is the role of AWS Security Hub delegated admin?","Aggregates security findings from accounts/Regions, applies standards (CIS, PCI), enables centralized suppression/response workflows.","domain2;security;operations"
"How do you protect data in transit for RDS?","Enforce TLS via parameter groups, require SSL, rotate certificates, and use security groups to limit inbound hosts.","domain2;security;database"
"When should you use PrivateLink for security services?","To expose services (e.g., logging, secrets) privately to other accounts/VPCs without transiting the public internet, controlling access via endpoint policies.","domain2;security;networking"
"How do you implement centralized logging for security analytics?","Aggregate CloudTrail, VPC Flow Logs, and application logs into S3/OpenSearch via Kinesis Firehose, maintain immutable storage with Object Lock, and analyze with Athena/SIEM.","domain2;security;operations"
"What is Amazon Detective ideal for?","Investigating relationships between IAM entities, network flows, and CloudTrail events to determine root cause of security findings.","domain2;security;operations"
"How do you secure EC2 instance metadata?","Require IMDSv2 (session-oriented tokens), disable IMDSv1, and restrict EC2 roles to least privilege.","domain2;security;compute"
"When do you use AWS Resource Access Manager for security tooling?","To share security services (Firewall Manager policies, RAM-managed Resolver rules) across accounts while retaining centralized governance.","domain2;security;governance"
"How do you validate security controls continuously?","Use AWS Config for compliance, Security Hub for control posture, run automated penetration tests via third-party tools, and schedule FIS chaos/security experiments.","domain2;security;operations"
"What approach manages customer-managed CMK lifecycle?","Rotate annually (automatic or manual), monitor with CloudWatch metrics, schedule deletion with 7-30 day waiting period, and enable key policies with least privilege.","domain2;security"
"How do you centralize operational metrics across accounts?","Use CloudWatch cross-account observability or metric streams into a monitoring account, aggregate logs via Kinesis Firehose into OpenSearch/S3, and standardize alerting through SNS/Incident Manager.","domain2;operations;observability"
"What is the role of AWS Systems Manager Incident Manager?","It provides incident response plans, on-call rotations, runbooks, and post-incident analytics integrated with CloudWatch alarms and Security Hub findings.","domain2;operations"
"How do you enforce configuration drift detection?","Use AWS Config rules, CloudFormation drift detection, and pipelines that reapply templates or trigger rollback when drift is detected.","domain2;operations;governance"
"When should you use AWS Resilience Hub?","To assess workload architectures against RPO/RTO targets, simulate failure scenarios, receive remediation recommendations, and integrate with Fault Injection Simulator.","domain2;operations;resiliency"
"How do you plan disaster recovery strategies?","Map business requirements to DR patterns (backup-restore, pilot light, warm standby, multi-site active-active), choose supporting AWS services, automate failover, and test regularly.","domain2;operations;resiliency"
"What is the purpose of AWS Fault Injection Simulator?","It runs chaos engineering experiments (latency, instance termination, AZ failure) to validate resilience and incident response automation.","domain2;operations;resiliency"
"How do you capture end-to-end tracing?","Instrument applications with AWS X-Ray or OpenTelemetry, propagate trace headers through ALB/API Gateway/EventBridge, export to a central account, and integrate with CloudWatch ServiceLens.","domain2;operations;observability"
"When is CloudWatch Synthetics useful?","To monitor application endpoints with canaries simulating user behavior, measuring availability/latency, and catching errors before customers do.","domain2;operations;observability"
"How do you implement infrastructure testing in pipelines?","Run unit tests (cfn-lint, taskcat), integration tests in isolated stacks, use LocalStack or SAM local for serverless mocks, and require approvals via CodePipeline/CodeBuild.","domain2;operations;governance"
"What is the approach for log retention compliance?","Define retention policies per log group via IaC, automate with Systems Manager scripts, archive to S3/Glacier, and validate via Config rules.","domain2;operations;compliance"
"How do you monitor Kubernetes workloads?","Use CloudWatch Container Insights, Prometheus/Grafana via Amazon Managed Prometheus & Grafana, collect logs with Fluent Bit to CloudWatch/OpenSearch, and integrate with X-Ray for tracing.","domain2;operations;containers"
"When should you use AWS Glue Data Quality?","To create custom data quality rules integrated with Glue pipelines, generating score metrics and alerts for data lake ingestion jobs.","domain2;operations;analytics"
"How do you automate patch management?","Use Systems Manager Patch Manager with patch baselines, maintenance windows, compliance dashboards, and integrate with Inspector findings.","domain2;operations;security"
"What ensures safe configuration rollouts?","Use AWS AppConfig for feature flags/config data, deploy with validators, enable deployment strategies (canary/linear), and monitor CloudWatch alarms.","domain2;operations;architecture"
"How do you reduce MTTR for serverless workloads?","Instrument with X-Ray, CloudWatch logs insights, use structured logging (JSON), enable Lambda insights metrics, and correlate with tracing IDs.","domain2;operations;serverless"
"What is AWS Well-Architected Tool used for?","Conduct workload reviews against the six pillars, document risks, track improvements, and integrate with improvement plans.","domain2;operations;governance"
"How do you manage runbooks programmatically?","Store runbooks in Systems Manager Automation documents or Step Functions, trigger via EventBridge, and version control them in CodeCommit/GitHub.","domain2;operations"
"When do you use Amazon DevOps Guru?","To automatically analyze CloudWatch metrics/logs for anomalies, providing insights and recommendations for operational issues.","domain2;operations;observability"
"How do you detect cost anomalies proactively?","Enable AWS Cost Anomaly Detection, configure monitors per service/linked account, route alerts via SNS/Chatbot, and investigate with Cost Explorer.","domain2;operations;cost"
"What strategy ensures consistent tagging enforcement?","Adopt tag policies, use Config custom rules to detect missing tags, apply Service Catalog / IaC templates forcing tags, and remediate automatically.","domain2;operations;governance"
"How do you manage concurrency of maintenance operations?","Leverage Systems Manager Change Calendar and Change Manager to schedule operations, enforce approvals, and avoid conflicts during critical windows.","domain2;operations"
"What is AWS Proton's operational benefit?","It provides platform teams standardized pipelines with observability baked in, ensuring deployments automatically include logging, monitoring, and compliance controls.","domain2;operations;compute"
"How do you maintain compliance evidence?","Use AWS Audit Manager, aggregate Config/Security Hub data, store evidence in S3 with Object Lock, and produce audit-ready reports.","domain2;operations;compliance"
"When should you deploy CloudWatch metric streams?","To push real-time metrics to partners or custom monitoring tools (Kinesis Data Firehose, OpenSearch, Datadog) without polling APIs.","domain2;operations;observability"
"How do you test failover regularly?","Automate failover drills with Route 53 scripts, load balancer weight shifts, and runbook execution, documenting results in Resilience Hub or Incident Manager.","domain2;operations;resiliency"
"What is the purpose of AWS Config aggregators?","Aggregate Config data across accounts and Regions for centralized compliance reporting and multi-account queries.","domain2;operations;governance"
"How do you enable feature-level observability?","Emit business KPIs via CloudWatch EMF, correlate with technical metrics, and dashboard them together to understand impact of changes.","domain2;operations;observability"
"What ensures safe rollback of infrastructure changes?","Use CloudFormation change sets, maintain versioned IaC templates, deploy via blue/green stacks, and keep automated backups/snapshots for stateful components.","domain2;operations;governance"
"How do you manage operational access in production?","Adopt Systems Manager Session Manager for shell access (logged), disable direct SSH, enforce IAM least privilege with temporary credentials, and monitor commands via CloudTrail.","domain2;operations;security"
"When do you rely on AWS Organizations service control policies for operations?","To prevent actions such as disabling logging, altering guardrails, or creating unapproved resources, ensuring operations stay within governance boundaries.","domain2;operations;governance"
"How do you prioritize operational alerts?","Implement multi-tier alerting (critical vs warning), use EventBridge to route alerts to Incident Manager or ChatOps, and align alerts with SLOs/SLIs.","domain2;operations"
"What phases comprise the AWS migration journey?","Assess (Migration Readiness Assessment), Mobilize (landing zone, skills, tooling), and Migrate & Modernize (execute waves, optimize).","domain3;migration"
"How do you prioritize applications for migration waves?","Assess business value vs complexity, group by dependencies, use Migration Portfolio Assessment (MPA) or Migration Evaluator to estimate TCO/effort.","domain3;migration;planning"
"When should you use AWS Application Migration Service (MGN)?","For lift-and-shift server migrations with minimal downtime, supporting continuous block-level replication, test cutovers, and automation runbooks.","domain3;migration;compute"
"How do you replatform legacy Windows workloads?","Use MGN for migration, upgrade to newer Windows versions, leverage AWS Launch Wizard or Elastic Beanstalk for .NET, and integrate with FSx for Windows or Managed AD.","domain3;migration;windows"
"What is the strategy for database migration with minimal downtime?","Use AWS DMS with CDC (ongoing replication), pre-provision target schema via SCT, run validation, and perform controlled cutover during low-traffic window.","domain3;migration;database"
"When should you rehost vs replatform vs refactor?","Rehost for speed, replatform to leverage managed services (RDS, ECS) with minimal code change, and refactor to adopt cloud-native architectures for agility and cost benefits.","domain3;migration;strategy"
"How do you migrate Oracle to Aurora PostgreSQL?","Analyze with SCT for schema conversion, convert PL/SQL to PL/pgSQL where needed, replicate data via DMS, test extensively, and plan cutover with minimal downtime.","domain3;migration;database"
"What is the benefit of Mainframe Modernization service?","It supports automated refactoring (Blu Age) or replatforming (Micro Focus) of COBOL workloads, providing integrated pipelines, testing, and runtime environments on AWS.","domain3;migration;mainframe"
"How do you migrate VMware workloads?","Use VMware Cloud on AWS for rapid lift-and-shift retaining vSphere tooling, or use MGN for conversion to EC2 while redesigning for native services.","domain3;migration;hybrid"
"When is AWS Snow Family required for migration?","For petabyte-scale data transfers, disconnected environments, or strict data residency where online transfer is impractical; use Snowball Edge or Snowmobile.","domain3;migration;hybrid"
"How do you modernize messaging systems?","Bridge on-prem brokers using Amazon MQ, gradually shift producers/consumers to SQS/SNS or EventBridge, and decommission legacy middleware as adoption progresses.","domain3;migration;integration"
"What tool helps analyze Windows and SQL Server readiness?","AWS Optimization and Licensing Assessment (AWS OLA) and Migration Evaluator assess current usage, licensing, and right-sizing recommendations.","domain3;migration;planning"
"How do you migrate file servers to AWS?","Use DataSync to EFS or FSx for Windows/ONTAP, preserve permissions via SMB/NFS, cut over during maintenance windows, and update client mappings.","domain3;migration;storage"
"When should you containerize workloads during migration?","When you aim to improve portability and scalability, using App2Container or ECS/EKS as part of modernization rather than pure lift-and-shift.","domain3;migration;containers"
"How do you migrate analytics pipelines?","Rebuild ETL using Glue/Athena/EMR, replicate data via DMS or Snowball to S3, adopt lakehouse architecture, and retire on-prem data warehouses (e.g., Teradata -> Redshift).","domain3;migration;analytics"
"What is the process for SAP on AWS migration?","Use AWS Launch Wizard/SAP Rapid Migration, choose appropriate EC2 HANA-certified instances, leverage AWS Backint Agent, and design high availability via pacemaker clusters.","domain3;migration;sap"
"How do you minimize downtime for web application cutover?","Run parallel environments, use Route 53 weighted records for canary, synchronize data via DMS or replication, and finalize cutover during off-peak hours.","domain3;migration;resiliency"
"When do you adopt serverless modernization patterns?","After initial migration, refactor services to Lambda/API Gateway/EventBridge to reduce operations, using strangler patterns to incrementally replace monolith components.","domain3;migration;modernization"
"How do you evaluate migration success metrics?","Track KPIs such as reduced TCO, improved availability, deployment frequency, performance metrics, and compliance posture post-migration.","domain3;migration;operations"
"What is the role of Migration Hub?","Provides a central dashboard to track migrations (MGN, DMS, partner tools), integrates with strategy recommendations, and maps apps to migration status.","domain3;migration;operations"
"How do you handle license management during migrations?","Use BYOL with License Manager or adopt AWS provided licenses (license included), ensure compliance via License Manager tracking, and consider license conversion programs.","domain3;migration;cost"
"When should you use AWS App2Container?","To containerize Java/.NET web applications with minimal code changes, generating ECS/Kubernetes deployment artifacts.","domain3;migration;containers"
"How do you handle large dataset replication without downtime?","Use DMS with parallel full load + CDC, or storage replication (EBS snapshots, Snowball initial seeding), then switch traffic after synchronization.","domain3;migration;storage"
"What governance is needed for migration waves?","Define change control, freeze windows, security reviews, performance baselines, and runbooks for each wave, ensuring stakeholder alignment.","domain3;migration;governance"
"How do you modernize authentication during migration?","Adopt Cognito or Identity Center, federate with corporate IdP, implement OIDC/SAML integration, and phase out legacy directory dependencies.","domain3;migration;security"
"When is AWS AppConfig part of modernization?","To decouple configuration from code, enabling feature flags and safe rollouts as you refactor applications post-migration.","domain3;migration;operations"
"How do you migrate big data clusters?","Recreate workloads using EMR or managed services (Glue), transfer data via Snowball/DataSync, and test workloads (Spark/Hive) in the new environment.","domain3;migration;analytics"
"What is the value of CloudEndure Disaster Recovery?","Provides continuous block-level replication for DR scenarios, enabling pilot light or warm standby setups while planning full migration.","domain3;migration;resiliency"
"How do you decompose monoliths after lift-and-shift?","Identify bounded contexts, extract services behind API Gateway or ALB, use strangler pattern, and shift state to managed data stores.","domain3;migration;modernization"
"When should you use AWS Step Functions in migration?","To orchestrate complex migration tasks, run data validation, coordinate approvals, and integrate with change management systems.","domain3;migration;operations"
"How do you ensure security baselines during migration?","Implement landing zone guardrails before migration, use automated checks (Config/Security Hub), and run vulnerability scans pre- and post-cutover.","domain3;migration;security"
"What is the approach for testing migrated workloads?","Run functional, performance, and security tests in staging, use synthetic traffic (CloudWatch Synthetics), and validate data integrity with DMS validation tools.","domain3;migration;operations"
"How do you integrate cost management post-migration?","Tag workloads, establish budgets and anomaly detection, compare actual spend against migration business case, and optimize with Compute Optimizer/Rightsizing.","domain3;migration;cost"
"When is hybrid connectivity necessary during migration?","Maintain VPN/DX connections for phased migrations, data synchronization, or workloads needing on-prem dependencies until decommissioning.","domain3;migration;hybrid"
"How do you retire on-prem assets after migration?","Execute decommission plan, update CMDB, transfer ownership, sanitize data, and close contracts/licensing to realize cost savings.","domain3;migration;operations"
"How do you implement showback/chargeback on AWS?","Use AWS Billing Conductor or Cost Categories with allocation rules, tag resources per business unit, and publish CUR-based dashboards via QuickSight.","domain4;cost;governance"
"When should you purchase Savings Plans?","After analyzing steady-state compute usage with Cost Explorer/Compute Optimizer, commit to 1- or 3-year Savings Plans (Compute or EC2 Instance) to reduce on-demand costs.","domain4;cost"
"How do you decide between Savings Plans and Reserved Instances?","Savings Plans offer flexibility across instance families/regions (Compute SP) while RIs provide capacity reservations and instance family specificity; choose based on flexibility vs discount needs.","domain4;cost"
"What tools monitor commitment utilization?","Use Cost Explorer's Savings Plans & RI utilization reports, set Budgets with utilization thresholds, and automate notifications via SNS/Chatbot.","domain4;cost;operations"
"How do you manage Spot usage effectively?","Track Spot coverage via Cost Explorer, set up Spot instance interruption budgets, diversify instance pools, and use Instance Scheduler or automation to pause workloads when Spot unavailable.","domain4;cost;compute"
"When is it appropriate to use AWS Instance Scheduler?","To automatically start/stop EC2/RDS resources on schedules (e.g., dev/test), reducing idle cost while respecting maintenance windows.","domain4;cost;operations"
"How do you optimize data transfer expenses?","Architect with VPC endpoints/PrivateLink to avoid NAT/IGW charges, use CloudFront caching, replicate assets closer to users, and monitor via VPC Flow Logs & Cost Explorer usage types.","domain4;cost;networking"
"What cost levers exist for S3?","Implement lifecycle policies, Intelligent-Tiering, compression, object consolidation, and evaluate access patterns to choose cost-effective classes.","domain4;cost;storage"
"How do you control Lambda costs?","Optimize function duration/memory, use asynchronous batching where possible, limit concurrency, and monitor via Cost Explorer grouped by service.","domain4;cost;serverless"
"When should you use Compute Optimizer recommendations?","Continually right-size EC2, Auto Scaling groups, EBS volumes, and Lambda memory to match actual utilization, feeding adjustments into IaC pipelines.","domain4;cost;operations"
"How do you govern cost anomalies?","Enable AWS Cost Anomaly Detection, define monitors for services/accounts, send alerts to financial owners, and investigate root cause using Cost Explorer filters.","domain4;cost;operations"
"What are cost considerations for multi-Region architectures?","Account for data transfer (inter-Region, replication), idle standby resources, cross-Region services (Global Accelerator, Route 53), and evaluate active-active vs active-passive trade-offs.","domain4;cost;resiliency"
"How do you budget for shared services?","Tag shared resources, allocate via cost categories or split charges proportionally, and set OU/account budgets that include shared costs using CUR insights.","domain4;cost;governance"
"When is AWS Budgets Actions useful?","To automatically execute actions (e.g., restrict IAM permissions, stop resources, notify) when budget thresholds are breached.","domain4;cost;operations"
"How do you measure unit economics on AWS?","Define cost per business metric (e.g., cost per transaction/user), tag workloads accordingly, and build QuickSight dashboards combining CUR with application KPIs.","domain4;cost;operations"
"What is the strategy for data lifecycle cost optimization?","Apply retention policies, tier logs to Glacier/Deep Archive, purge redundant replicas, and ensure regulatory requirements justify storage duration.","domain4;cost;storage"
"How do you reduce EBS cost?","Right-size volumes, switch to gp3 with provisioned IOPS, use snapshots with Data Lifecycle Manager, and delete unused snapshots.","domain4;cost;storage"
"When should you evaluate managed services for cost?","Compare total cost of ownership including operations (patching, scaling), licensing, and reliability benefits versus self-managed equivalents.","domain4;cost;architecture"
"How do you optimize container cost?","Use Fargate Spot for tolerant workloads, right-size task CPU/memory, pack containers efficiently with bin packing strategies, and auto scale based on metrics.","domain4;cost;containers"
"What cost controls apply to data analytics?","Use per-query limits in Athena, manage Redshift concurrency scaling, pause/resume Redshift Serverless, and enforce EMR auto-termination.","domain4;cost;analytics"
"How do you track savings initiatives?","Maintain FinOps backlog, quantify realized vs forecasted savings, and report progress via dashboards to stakeholders.","domain4;cost;operations"
"When is consolidated billing beneficial?","It aggregates usage across accounts to earn volume discounts and Savings Plan sharing, simplifying chargeback via CUR.","domain4;cost;governance"
"How do you plan cost guardrails for experimentation accounts?","Set budgets, automate alerts, restrict service usage with SCPs, and employ Instance Scheduler to shut down resources outside work hours.","domain4;cost;governance"
"What is AWS Compute Optimizer enhanced infrastructure metrics?","A feature providing detailed metrics for better recommendations, requiring additional CloudWatch fees but improving right-sizing accuracy.","domain4;cost;operations"
"How should you approach long scenario questions?","Identify key requirements (availability, data residency, RPO/RTO, compliance), eliminate options that miss constraints, and choose the simplest solution that meets all needs.","exam"
"What is the tie-breaker when multiple answers seem valid?","Favor architectures using managed services, aligning with AWS best practices, and satisfying business constraints with minimal operational overhead.","exam"
"How do you manage time during the SAP exam?","Budget roughly 1.5 minutes per question, flag tricky ones, complete a first pass quickly, then revisit flagged questions with remaining time.","exam"
"Why is understanding service limits crucial for the exam?","Many distractors ignore limits (e.g., API Gateway payload size, Lambda timeout), so knowing limits helps eliminate infeasible answers.","exam"
"How do you study architecture trade-offs effectively?","Compare pros/cons of similar services (ALB vs NLB vs Gateway LB, RDS vs Aurora vs DynamoDB) and align them to scenario requirements.","exam"
"What resources reinforce exam readiness?","Use AWS whitepapers (Well-Architected, Security, DR), service FAQs, re:Invent sessions, and sample questions to internalize design patterns.","exam"
"How should you treat multi-account questions?","Default to landing zone best practices: Control Tower, Organizations, SCPs, centralized logging, shared services, and cross-account IAM via Identity Center.","exam"
